InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
1,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 8:26,2.55,17850,United Kingdom
2,71053,WHITE METAL LANTERN,6,1/12/2010 8:26,3.39,17850,United Kingdom
3,84406B,CREAM CUPID HEARTS COAT HANGER,8,1/12/2010 8:26,2.75,17850,United Kingdom
4,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,1/12/2010 8:26,3.39,17850,United Kingdom
5,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,1/12/2010 8:26,3.39,17850,United Kingdom
6,22752,SET 7 BABUSHKA NESTING BOXES,2,1/12/2010 8:26,7.65,17850,United Kingdom
7,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,1/12/2010 8:26,4.25,17850,United Kingdom
8,22633,HAND WARMER UNION JACK,6,1/12/2010 8:28,1.85,17850,United Kingdom
9,22632,HAND WARMER RED POLKA DOT,6,1/12/2010 8:28,1.85,17850,United Kingdom
10,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1/12/2010 8:34,1.69,13047,United Kingdom
11,22745,POPPY'S PLAYHOUSE BEDROOM ,6,1/12/2010 8:34,2.1,13047,United Kingdom
12,22748,POPPY'S PLAYHOUSE KITCHEN,6,1/12/2010 8:34,2.1,13047,United Kingdom
13,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,1/12/2010 8:34,3.75,13047,United Kingdom
14,22310,IVORY KNITTED MUG COSY ,6,1/12/2010 8:34,1.65,13047,United Kingdom
15,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,1/12/2010 8:34,4.25,13048,United Kingdom
16,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,1/12/2010 8:34,4.95,13048,United Kingdom
17,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,1/12/2010 8:34,9.95,13050,United Kingdom
18,21754,HOME BUILDING BLOCK WORD,3,1/12/2010 8:34,5.95,13050,United Kingdom
19,21755,LOVE BUILDING BLOCK WORD,3,1/12/2010 8:34,5.95,13050,United Kingdom
20,21777,RECIPE BOX WITH METAL HEART,4,1/12/2010 8:34,7.95,13050,United Kingdom
21,48187,DOORMAT NEW ENGLAND,4,1/12/2010 8:34,7.95,13054,United Kingdom
22,22960,JAM MAKING SET WITH JARS,6,1/12/2010 8:34,4.25,13054,United Kingdom
23,22913,RED COAT RACK PARIS FASHION,3,1/12/2010 8:34,4.95,13054,United Kingdom
24,22912,YELLOW COAT RACK PARIS FASHION,3,1/12/2010 8:34,4.95,13054,United Kingdom
25,22914,BLUE COAT RACK PARIS FASHION,3,1/12/2010 8:34,4.95,13054,United Kingdom
26,21756,BATH BUILDING BLOCK WORD,3,1/12/2010 8:35,5.95,13054,United Kingdom
